tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
236,2021-04-01 00:08:13.9440,2021-04-01 00:12:10.1330,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,38392,Customer,1970,0
1047,2021-04-01 00:11:01.4250,2021-04-01 00:28:28.5300,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,54268,Customer,1970,0
491,2021-04-01 00:15:09.7010,2021-04-01 00:23:20.8380,3202,Newport PATH,40.7272235,-74.03375890000001,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42307,Customer,1970,0
193,2021-04-01 00:21:05.0750,2021-04-01 00:24:18.2960,3195,Sip Ave,40.73089709786179,-74.06391263008119,3194,McGinley Square,40.7253399253558,-74.06762212514876,44452,Customer,1970,0
448,2021-04-01 00:46:23.3930,2021-04-01 00:53:51.4640,3639,Harborside,40.71925170000001,-74.034234,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,48740,Customer,1970,0
228,2021-04-01 00:47:05.4530,2021-04-01 00:50:54.4270,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3203,Hamilton Park,40.727595965999996,-74.044247311,44392,Customer,1970,0
764,2021-04-01 00:48:03.9870,2021-04-01 01:00:48.2190,3639,Harborside,40.71925170000001,-74.034234,3194,McGinley Square,40.7253399253558,-74.06762212514876,40440,Customer,1970,0
547,2021-04-01 00:50:09.1060,2021-04-01 00:59:16.4430,3195,Sip Ave,40.73089709786179,-74.06391263008119,3679,Bergen Ave,40.72210378668603,-74.07145500183104,31242,Customer,1970,0
139,2021-04-01 01:00:12.4630,2021-04-01 01:02:31.8540,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.71925170000001,-74.034234,42601,Customer,1970,0
193,2021-04-01 01:11:10.1090,2021-04-01 01:14:23.6540,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3273,Manila & 1st,40.72165072487999,-74.04288411140442,54259,Customer,1970,0
380,2021-04-01 01:42:09.1310,2021-04-01 01:48:29.3230,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,35358,Customer,1970,0
489,2021-04-01 01:42:53.7970,2021-04-01 01:51:03.5910,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3639,Harborside,40.71925170000001,-74.034234,48740,Customer,1970,0
274,2021-04-01 01:49:59.9930,2021-04-01 01:54:34.0620,3639,Harborside,40.71925170000001,-74.034234,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42601,Customer,1970,0
230,2021-04-01 02:49:28.3750,2021-04-01 02:53:18.5090,3195,Sip Ave,40.73089709786179,-74.06391263008119,3194,McGinley Square,40.7253399253558,-74.06762212514876,29814,Customer,1970,0
389,2021-04-01 02:50:28.5220,2021-04-01 02:56:58.2330,3185,City Hall,40.717732500000004,-74.04384499999999,3192,Liberty Light Rail,40.711242299999995,-74.0557013,47019,Customer,1970,0
332,2021-04-01 02:51:30.2770,2021-04-01 02:57:03.0260,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3203,Hamilton Park,40.727595965999996,-74.044247311,42177,Customer,1970,0
243,2021-04-01 03:09:56.7780,2021-04-01 03:13:59.9520,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3205,JC Medical Center,40.71653978099194,-74.0496379137039,44721,Customer,1970,0
298,2021-04-01 03:21:12.4680,2021-04-01 03:26:10.9570,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3195,Sip Ave,40.73089709786179,-74.06391263008119,29983,Customer,1970,0
144,2021-04-01 03:21:46.5470,2021-04-01 03:24:10.9350,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.71925170000001,-74.034234,42788,Customer,1970,0
4917,2021-04-01 04:02:06.7900,2021-04-01 05:24:04.2950,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3694,Jackson Square,40.71113,-74.0789,45278,Customer,1970,0
597,2021-04-01 04:15:09.2600,2021-04-01 04:25:06.8710,3195,Sip Ave,40.73089709786179,-74.06391263008119,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,44283,Customer,1970,0
323,2021-04-01 04:42:21.9920,2021-04-01 04:47:45.5440,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3203,Hamilton Park,40.727595965999996,-74.044247311,42601,Customer,1970,0
